instrument_name,note,frequencies
Trombone,A#1,"[ 932.32752304 1244.50793489  830.60939516 1396.91292573 1318.51022765
 1661.21879032  783.99087196 1174.65907167 1046.5022612  1567.98174393
 1479.97769085  466.16376152]"
Trombone,A#1,"[ 932.32752304  830.60939516 1318.51022765  466.16376152 1396.91292573
 1244.50793489  349.22823143  783.99087196 1174.65907167 1046.5022612
 1661.21879032  698.45646287]"
Trombone,A#1,"[ 830.60939516  932.32752304  466.16376152  349.22823143  116.54094038
  783.99087196  233.08188076 1244.50793489 1318.51022765  587.32953583
 1174.65907167  698.45646287]"
Trombone,A#2,"[ 932.32752304 1396.91292573  466.16376152 1174.65907167 1661.21879032
  698.45646287 1567.98174393  987.76660251 1479.97769085  880.
 1864.65504607 1108.73052391]"
Trombone,A#2,"[ 932.32752304  466.16376152 1396.91292573 1174.65907167  698.45646287
 1661.21879032  987.76660251  233.08188076  493.88330126  880.
 1479.97769085 1567.98174393]"
Trombone,A#2,"[ 466.16376152  932.32752304  233.08188076  698.45646287  493.88330126
  440.         1174.65907167  987.76660251  246.94165063  880.
  220.         1396.91292573]"
Trombone,A#3,"[ 932.32752304 1396.91292573  466.16376152  880.          987.76660251
 1318.51022765 1479.97769085 1864.65504607  440.         2349.31814334
  493.88330126 2793.82585146]"
Trombone,A#3,"[ 932.32752304  466.16376152 1396.91292573  987.76660251  493.88330126
  880.          440.         1479.97769085 1318.51022765 1864.65504607
 1975.53320502 2349.31814334]"
Trombone,A#3,"[ 466.16376152  932.32752304  440.          493.88330126  880.
 1396.91292573  987.76660251 1318.51022765 1479.97769085 1864.65504607
 1760.         1975.53320502]"
Trombone,A#4,"[ 932.32752304 1864.65504607  987.76660251  880.         1975.53320502
 2793.82585146 1760.         3729.31009214 2959.95538169 2637.0204553
 4698.63628668 3951.06641005]"
Trombone,A#4,"[ 932.32752304  880.          987.76660251 1864.65504607 1760.
 1975.53320502 2793.82585146 2637.0204553  2959.95538169 3729.31009214
 3520.         3951.06641005]"
Trombone,A#4,"[ 932.32752304  880.          987.76660251 1864.65504607 1760.
 1975.53320502 2793.82585146 2637.0204553  2959.95538169 3729.31009214
  830.60939516 3520.        ]"
